# G	S	NOfMon	Nch	phi	rMax	phiEndsMax
# 
5	1	94	4	0.00	6.25	0.0119571
5	1	94	4	0.10	6.25	0.0125081
5	1	94	4	0.30	4.75	0.0151747
5	1	94	4	0.50	4.75	0.01869
5	1	94	128	0.00	6.75	0.0119827
5	1	94	128	0.10	6.25	0.012481
5	1	94	128	0.30	5.75	0.0155734
5	1	94	128	0.50	4.25	0.0203583
5	4	373	4	0.00	13.75	0.000905747
5	4	373	4	0.10	13.75	0.00107456
5	4	373	4	0.30	10.25	0.00144926
5	4	373	4	0.50	6.25	0.00194625
5	4	373	128	0.00	15.25	0.000894083
5	4	373	128	0.10	10.75	0.00122583
5	4	373	128	0.30	8.25	0.00214207
5	4	373	128	0.50	6.25	0.00307003
